Brand,Product Name,Category,Ingredient Details,Ingredient Types,Is Harmful?,Reason for Harmful,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternative,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacturing,Expiration Detail
Healthy Choice,Chicken StirNot ApplicableFry,Frozen Meals,"Chicken StirNot ApplicableFry (Chicken, Vegetables, Brown Rice)","Meat, Vegetables, Grains",Yes,High in Sodium,2Not Applicable3 Servings Per Week,Yes (Limited),Yes,Yes (Limited),"Good Source of Protein, Moderate in Fat",Homemade StirNot ApplicableFry,"Homemade stirNot Applicablefry with lean protein, plenty of vegetables, and brown rice",Yes,1,8,USA,4 Months
Stouffer's,Macaroni & Cheese,Frozen Meals,Macaroni & Cheese,"Dairy, Grains",Yes,"High in Sodium, Saturated Fat",Occasional Treat,Yes (Limited),Yes,Yes (Limited),"High in Calories, Fat, and Sodium",Homemade Macaroni & Cheese,Homemade macaroni and cheese with wholeNot Applicablewheat pasta and reducedNot Applicablefat cheese,Yes,2,4,USA,3 Months
Trader Joe's,Vegetable Spring Rolls,Frozen Appetizers,"Vegetable Spring Rolls (Vegetables, Rice Paper)","Vegetables, Grains",Yes,May Contain Added Sugar,Occasional Treat,Yes,Yes,Yes,"Good Source of Vegetables, Moderate in Calories",Fresh Spring Rolls,Homemade spring rolls with fresh vegetables and rice paper,Yes,1,2,USA,6 Months
Gorton's,Fish Sticks,Frozen Seafood,"Fish Sticks (White Fish, Breading)","Seafood, Grains",Yes,"High in Sodium, May Contain Allergens",2Not Applicable3 Servings Per Week,Yes (Limited),Yes,Yes (Limited),"Good Source of Protein, Moderate in Fat",Baked Fish,Baked or Grilled Fish with Lemon and Herbs,Yes,2,2,USA,6 Months
Lean Cuisine,Chicken Parmesan,Frozen Meals,Chicken Parmesan,"Meat, Dairy, Grains",Yes,High in Sodium,Occasional Treat,Yes (Limited),Yes,Yes (Limited),"Good Source of Protein, Moderate in Fat",Baked Chicken Parmesan,Baked chicken breast with tomato sauce and lowNot Applicablefat cheese,Yes,1,5,USA,4 Months
Birds Eye,Steamfresh Broccoli,Vegetables,"Broccoli florets, water","Vegetables, Water",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"High in Vitamin C, Vitamin K, Fiber",Fresh Broccoli,Steaming fresh broccoli at home,Yes,0,2,USA,1 year from production
Green Giant,Frozen Corn,Vegetables,"Sweet corn kernels, water","Vegetables, Water",No,Not Applicable,Not Applicable,Yes,Yes,Yes,Good source of Fiber,Fresh Corn,Grilling or boiling fresh corn on the cob,Yes,0,2,USA,1 year from production
Birds Eye,Frozen Peas,Vegetables,"Peas, water","Vegetables, Water",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Vitamin A",Fresh Peas,Steaming or boiling fresh peas,Yes,0,2,USA,1 year from production
McCain,French Fries,Potato Products,"Potatoes, Vegetable Oil (Sunflower, Canola), Salt","Potatoes, Vegetable Oil, Salt",Yes,High in Sodium and Fat,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, and Sodium",Baked Sweet Potato Fries,Baked sweet potato fries seasoned with herbs and spices,Yes,2,3,Canada,6 months from production
OreNot ApplicableIda,Tater Tots,Potato Products,"Potatoes, Vegetable Oil (Sunflower, Canola), Salt","Potatoes, Vegetable Oil, Salt",Yes,High in Sodium and Fat,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, and Sodium",Baked Potato Wedges,Baked potato wedges seasoned with herbs and spices,Yes,2,3,USA,6 months from production
MorningStar Farms,Veggie Burgers,Meat Alternatives,"Water, Soy Protein Concentrate, Vegetable Oil (Canola, Sunflower), Wheat Gluten, Brown Rice Flour, Textured Soy Protein","Water, Soy Protein, Vegetable Oil, Wheat Gluten, Brown Rice Flour",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Fiber",Homemade Veggie Burgers,"Using lentils, beans, and vegetables to create your own patties",Yes,0,7,USA,6 months from production
Gardein,Chick'n Scallopini,Meat Alternatives,"Water, Vital Wheat Gluten, Soy Protein Isolate, Expeller Pressed Canola Oil, Pea Protein","Water, Vital Wheat Gluten, Soy Protein, Canola Oil, Pea Protein",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Fiber",Baked Tofu Scallopini,Marinating and baking tofu to mimic the texture and flavor of chicken,Yes,0,5,USA,6 months from production
Beyond Meat,Beyond Burgers,Meat Alternatives,"Water, Pea Protein, ExpellerNot ApplicablePressed Canola Oil, Sunflower Oil, Rice Protein, Methylcellulose, Coconut Oil, Apple Extract, Potato Starch, Onion Powder, Lemon Juice Concentrate, Yeast Extract, Beet Root Extract","Water, Pea Protein, Canola Oil, Sunflower Oil, Rice Protein, Methylcellulose, Coconut Oil, Apple Extract, Potato Starch, Onion Powder, Lemon Juice Concentrate, Yeast Extract, Beet Root Extract",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Fiber",Lentil Burgers,"Making burgers with lentils, vegetables, and spices",Yes,0,15,USA,6 months from production
Trader Joe's,Mandarin Orange Chicken,Chinese Food,"Breaded Chicken (Chicken, Water, Modified Food Starch, Salt), Water, Sugar, Brown Sugar, Soy Sauce (Water, Soybeans, Wheat, Salt), Vegetable Oil (Canola, Sunflower), Modified Food Starch, Honey, Garlic, Ginger, Spices","Breaded Chicken, Water, Sugar, Brown Sugar, Soy Sauce, Vegetable Oil, Modified Food Starch, Honey, Garlic, Ginger, Spices",Yes,"High in Sodium, Sugar",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Sugar",Homemade Orange Chicken,"Using fresh chicken, vegetables, and a homemade sauce",Yes,2,16,USA,6 months from production
Trader Joe's,Vegetable Spring Rolls,Appetizers,"Vegetables (Cabbage, Carrots, Celery, Green Onions), Water Chestnuts, Shiitake Mushrooms, Rice Noodles, Vegetable Oil, Soy Sauce (Water, Soybeans, Wheat, Salt), Sugar, Ginger, Garlic","Vegetables, Water Chestnuts, Shiitake Mushrooms, Rice Noodles, Vegetable Oil, Soy Sauce, Sugar, Ginger, Garlic",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium",Homemade Spring Rolls,Using fresh vegetables and rice paper to make your own spring rolls,Yes,1,12,USA,6 months from production
Amy's,Organic Vegetable Pot Pie,Entrees,"Vegetables (Carrots, Peas, Corn, Green Beans), Organic Whole Wheat Flour, Organic Vegetable Broth, Organic Potatoes, Organic Soybeans, Organic Brown Rice Flour, Organic Tapioca Starch, Organic Spices","Vegetables, Organic Whole Wheat Flour, Organic Vegetable Broth, Organic Potatoes, Organic Soybeans, Organic Brown Rice Flour, Organic Tapioca Starch, Organic Spices",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Fiber, Vegetables",Homemade Vegetable Pot Pie,"Using fresh vegetables, whole grains, and a homemade broth",Yes,0,12,USA,6 months from production
Amy's,Organic Lentil Soup,Soups,"Organic Lentils, Organic Tomatoes, Organic Onions, Organic Carrots, Organic Celery, Organic Vegetable Broth, Organic Olive Oil, Organic Garlic, Organic Spices","Organic Lentils, Organic Tomatoes, Organic Onions, Organic Carrots, Organic Celery, Organic Vegetable Broth, Organic Olive Oil, Organic Garlic, Organic Spices",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Fiber, Vegetables",Homemade Lentil Soup,"Using dried lentils, fresh vegetables, and a homemade broth",Yes,0,11,USA,6 months from production
Stouffer's,Macaroni & Cheese,Entrees,"Enriched Macaroni, Water, Pasteurized Milk, Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes), Modified Food Starch, Salt, Butter (Cream, Salt), Whey, Yellow Corn Flour, Natural Flavor","Enriched Macaroni, Water, Pasteurized Milk, Cheddar Cheese, Modified Food Starch, Salt, Butter, Whey, Yellow Corn Flour, Natural Flavor",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Homemade Macaroni & Cheese,"Using whole wheat pasta, lowNot Applicablefat milk, and reducedNot Applicablefat cheese",Yes,2,11,USA,6 months from production
Lean Cuisine,Chicken Parmesan,Entrees,"Breaded Chicken (Chicken Breast, Water, Breadcrumbs, Wheat Flour, Modified Food Starch, Salt), Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Parmesan Cheese, Water, Modified Food Starch","Breaded Chicken, Tomato Sauce, Mozzarella Cheese, Parmesan Cheese, Water, Modified Food Starch",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium",Baked Chicken Parmesan,"Using skinless, boneless chicken breasts, lowNot Applicablesodium tomato sauce, and partNot Applicableskim mozzarella cheese",Yes,1,9,USA,6 months from production
Healthy Choice,Power Bowls,Entrees,"Brown Rice, Quinoa, Vegetables (Broccoli, Carrots, Green Beans, Peas, Onions), Chicken, Vegetable Broth, Soy Sauce (Water, Soybeans, Wheat, Salt), Sesame Oil, Ginger, Garlic","Brown Rice, Quinoa, Vegetables, Chicken, Vegetable Broth, Soy Sauce, Sesame Oil, Ginger, Garlic",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium",Homemade Power Bowls,"Using brown rice, quinoa, plenty of vegetables, lean protein, and a lowNot Applicablesodium sauce",Yes,1,12,USA,6 months from production
McCain,French Fries,Potato Products,"Potatoes, Vegetable Oil (Sunflower, Canola), Salt","Potatoes, Vegetable Oil, Salt",Yes,High in Sodium and Fat,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, and Sodium",Baked Sweet Potato Fries,Baked sweet potato fries seasoned with herbs and spices,Yes,2,3,Canada,6 months from production
OreNot ApplicableIda,Tater Tots,Potato Products,"Potatoes, Vegetable Oil (Sunflower, Canola), Salt","Potatoes, Vegetable Oil, Salt",Yes,High in Sodium and Fat,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, and Sodium",Baked Potato Wedges,Baked potato wedges seasoned with herbs and spices,Yes,2,3,USA,6 months from production
Birds Eye,Steamfresh Broccoli,Vegetables,"Broccoli florets, water","Vegetables, Water",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"High in Vitamin C, Vitamin K, Fiber",Fresh Broccoli,Steaming fresh broccoli at home,Yes,0,2,USA,1 year from production
Birds Eye,Frozen Peas,Vegetables,"Peas, water","Vegetables, Water",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Vitamin A",Fresh Peas,Steaming or boiling fresh peas,Yes,0,2,USA,1 year from production
MorningStar Farms,Veggie Burgers,Meat Alternatives,"Water, Soy Protein Concentrate, Vegetable Oil (Canola, Sunflower), Wheat Gluten, Brown Rice Flour, Textured Soy Protein","Water, Soy Protein, Vegetable Oil, Wheat Gluten, Brown Rice Flour",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Fiber",Homemade Veggie Burgers,"Using lentils, beans, and vegetables to create your own patties",Yes,0,7,USA,6 months from production
Gardein,Chick'n Scallopini,Meat Alternatives,"Water, Vital Wheat Gluten, Soy Protein Isolate, Expeller Pressed Canola Oil, Pea Protein","Water, Vital Wheat Gluten, Soy Protein, Canola Oil, Pea Protein",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Fiber",Baked Tofu Scallopini,Marinating and baking tofu to mimic the texture and flavor of chicken,Yes,0,5,USA,6 months from production
Beyond Meat,Beyond Burgers,Meat Alternatives,"Water, Pea Protein, ExpellerNot ApplicablePressed Canola Oil, Sunflower Oil, Rice Protein, Methylcellulose, Coconut Oil, Apple Extract, Potato Starch, Onion Powder, Lemon Juice Concentrate, Yeast Extract, Beet Root Extract","Water, Pea Protein, Canola Oil, Sunflower Oil, Rice Protein, Methylcellulose, Coconut Oil, Apple Extract, Potato Starch, Onion Powder, Lemon Juice Concentrate, Yeast Extract, Beet Root Extract",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Fiber",Lentil Burgers,"Making burgers with lentils, vegetables, and spices",Yes,0,15,USA,6 months from production
Trader Joe's,Mandarin Orange Chicken,Chinese Food,"Breaded Chicken (Chicken, Water, Modified Food Starch, Salt), Water, Sugar, Brown Sugar, Soy Sauce (Water, Soybeans, Wheat, Salt), Vegetable Oil (Canola, Sunflower), Modified Food Starch, Honey, Garlic, Ginger, Spices","Breaded Chicken, Water, Sugar, Brown Sugar, Soy Sauce, Vegetable Oil, Modified Food Starch, Honey, Garlic, Ginger, Spices",Yes,"High in Sodium, Sugar",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Sugar",Homemade Orange Chicken,"Using fresh chicken, vegetables, and a homemade sauce",Yes,2,16,USA,6 months from production
Trader Joe's,Vegetable Spring Rolls,Appetizers,"Vegetables (Cabbage, Carrots, Celery, Green Onions), Water Chestnuts, Shiitake Mushrooms, Rice Noodles, Vegetable Oil, Soy Sauce (Water, Soybeans, Wheat, Salt), Sugar, Ginger, Garlic","Vegetables, Water Chestnuts, Shiitake Mushrooms, Rice Noodles, Vegetable Oil, Soy Sauce, Sugar, Ginger, Garlic",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium",Homemade Spring Rolls,Using fresh vegetables and rice paper to make your own spring rolls,Yes,1,12,USA,6 months from production
Amy's,Organic Vegetable Pot Pie,Entrees,"Vegetables (Carrots, Peas, Corn, Green Beans), Organic Whole Wheat Flour, Organic Vegetable Broth, Organic Potatoes, Organic Soybeans, Organic Brown Rice Flour, Organic Tapioca Starch, Organic Spices","Vegetables, Organic Whole Wheat Flour, Organic Vegetable Broth, Organic Potatoes, Organic Soybeans, Organic Brown Rice Flour, Organic Tapioca Starch, Organic Spices",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Fiber, Vegetables",Homemade Vegetable Pot Pie,"Using fresh vegetables, whole grains, and a homemade broth",Yes,0,12,USA,6 months from production
Amy's,Organic Lentil Soup,Soups,"Organic Lentils, Organic Tomatoes, Organic Onions, Organic Carrots, Organic Celery, Organic Vegetable Broth, Organic Olive Oil, Organic Garlic, Organic Spices","Organic Lentils, Organic Tomatoes, Organic Onions, Organic Carrots, Organic Celery, Organic Vegetable Broth, Organic Olive Oil, Organic Garlic, Organic Spices",No,Not Applicable,Not Applicable,Yes,Yes,Yes,"Good source of Protein, Fiber, Vegetables",Homemade Lentil Soup,"Using dried lentils, fresh vegetables, and a homemade broth",Yes,0,11,USA,6 months from production
Stouffer's,Macaroni & Cheese,Entrees,"Enriched Macaroni, Water, Pasteurized Milk, Cheddar Cheese (Milk, Cheese Cultures, Salt, Enzymes), Modified Food Starch, Salt, Butter (Cream, Salt), Whey, Yellow Corn Flour, Natural Flavor","Enriched Macaroni, Water, Pasteurized Milk, Cheddar Cheese, Modified Food Starch, Salt, Butter, Whey, Yellow Corn Flour, Natural Flavor",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Fat, Sodium",Homemade Macaroni & Cheese,"Using whole wheat pasta, lowNot Applicablefat milk, and reducedNot Applicablefat cheese",Yes,2,11,USA,6 months from production
Lean Cuisine,Chicken Parmesan,Entrees,"Breaded Chicken (Chicken Breast, Water, Breadcrumbs, Wheat Flour, Modified Food Starch, Salt), Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Parmesan Cheese, Water, Modified Food Starch","Breaded Chicken, Tomato Sauce, Mozzarella Cheese, Parmesan Cheese, Water, Modified Food Starch",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium",Baked Chicken Parmesan,"Using skinless, boneless chicken breasts, lowNot Applicablesodium tomato sauce, and partNot Applicableskim mozzarella cheese",Yes,1,9,USA,6 months from production
Healthy Choice,Power Bowls,Entrees,"Brown Rice, Quinoa, Vegetables (Broccoli, Carrots, Green Beans, Peas, Onions), Chicken, Vegetable Broth, Soy Sauce (Water, Soybeans, Wheat, Salt), Sesame Oil, Ginger, Garlic","Brown Rice, Quinoa, Vegetables, Chicken, Vegetable Broth, Soy Sauce, Sesame Oil, Ginger, Garlic",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium",Homemade Power Bowls,"Using brown rice, quinoa, plenty of vegetables, lean protein, and a lowNot Applicablesodium sauce",Yes,1,12,USA,6 months from production
DiGiorno,Four Cheese Pizza,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Parmesan Cheese, Romano Cheese, Provolone Cheese, Vegetable Oil (Canola, Sunflower), Yeast, Sugar, Salt","Enriched Flour, Water, Tomato Sauce, Mozzarella Cheese, Parmesan Cheese, Romano Cheese, Provolone Cheese, Vegetable Oil, Yeast, Sugar, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and plenty of vegetables",Yes,3,13,USA,3 months from production
Tombstone,Pepperoni Pizza,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Pepperoni, Vegetable Oil (Canola, Sunflower), Yeast, Sugar, Salt","Enriched Flour, Water, Tomato Sauce, Mozzarella Cheese, Pepperoni, Vegetable Oil, Yeast, Sugar, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and plenty of vegetables",Yes,3,12,USA,3 months from production
Jack's,Pizza,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Pepperoni, Vegetable Oil (Canola, Sunflower), Yeast, Sugar, Salt","Enriched Flour, Water, Tomato Sauce, Mozzarella Cheese, Pepperoni, Vegetable Oil, Yeast, Sugar, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and plenty of vegetables",Yes,3,12,USA,3 months from production
California Pizza Kitchen,Chicken Pesto Pizza,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Grilled Chicken, Pesto Sauce (Basil, Parmesan Cheese, Pine Nuts, Olive Oil), Vegetable Oil (Canola, Sunflower), Yeast, Sugar, Salt","Enriched Flour, Water, Tomato Sauce, Mozzarella Cheese, Grilled Chicken, Pesto Sauce, Vegetable Oil, Yeast, Sugar, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, grilled chicken, and homemade pesto",Yes,3,15,USA,3 months from production
Papa Murphy's,Take 'N' Bake Pizza,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Pepperoni, Vegetable Oil (Canola, Sunflower), Yeast, Sugar, Salt","Enriched Flour, Water, Tomato Sauce, Mozzarella Cheese, Pepperoni, Vegetable Oil, Yeast, Sugar, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and plenty of vegetables",Yes,3,12,USA,2 days from preparation
Amy's,Organic Cheese Pizza,Pizza,"Organic Whole Wheat Flour, Organic Tomato Sauce (Organic Tomatoes, Organic Tomato Paste, Organic Onions, Organic Garlic, Organic Spices), Organic Mozzarella Cheese, Organic Olive Oil, Organic Yeast, Organic Sugar, Sea Salt","Organic Whole Wheat Flour, Organic Tomato Sauce, Organic Mozzarella Cheese, Organic Olive Oil, Organic Yeast, Organic Sugar, Sea Salt",Yes,High in Sodium,Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and plenty of vegetables",Yes,1,10,USA,6 months from production
Newman's Own,Pizza,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Pepperoni, Vegetable Oil (Canola, Sunflower), Yeast, Sugar, Salt","Enriched Flour, Water, Tomato Sauce, Mozzarella Cheese, Pepperoni, Vegetable Oil, Yeast, Sugar, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and plenty of vegetables",Yes,3,12,USA,3 months from production
Celeste,Pizza,Pizza,"Enriched Flour, Water, Tomato Sauce (Tomatoes, Tomato Paste, Onions, Garlic, Spices, Basil, Oregano), Mozzarella Cheese, Pepperoni, Vegetable Oil (Canola, Sunflower), Yeast, Sugar, Salt","Enriched Flour, Water, Tomato Sauce, Mozzarella Cheese, Pepperoni, Vegetable Oil, Yeast, Sugar, Salt",Yes,"High in Sodium, Fat, Saturated Fat",Limit to 1Not Applicable2 servings per week,No,Yes,No,"High in Calories, Sodium, Fat",Homemade Pizza,"Making pizza with whole wheat crust, lowNot Applicablefat cheese, and plenty of vegetables",Yes,3,12,USA,3 months from production
